"","Time","Sl_No.","UPI_Beneficiary_Bank","Total_Volume","Approved_Amt","BD_Amt","TD_Amt","DeemedApproved_Amt"
"97","""Sept 21""",47,"Jammu And Kashmir Bank",2.85,2.736855,0.06726,0.04275,0.003135
"98","""Sept 21""",48,"Sarva Haryana Gramin Bank",2.66,2.432038,0.019684,0.195244,0.013034
"99","""Sept 21""",49,"Lakshmi Vilas Bank",2.66,2.594564,0.035112,0.019152,0.011172
"100","""Sept 21""",50,"Baroda Rajasthan Kshetriya Gramin Bank",2.63,2.479827,0.05523,0.056545,0.038398
"101","""Oct 21""",1,"Paytm Payments Bank",783.61,779.848672,3.212801,0.470166,0.078361
"102","""Oct 21""",2,"State Bank Of India",596.38,590.774028,2.564434,1.968054,1.073484
"103","""Oct 21""",3,"Yes Bank Ltd",511.29,510.727581,0.306774,0.204516,0.051129
"104","""Oct 21""",4,"Icici Bank",374.23,371.311006,2.582187,0.149692,0.187115
"105","""Oct 21""",5,"Axis Bank Ltd",333.11,330.012077,1.065952,0.799464,1.232507
"106","""Oct 21""",6,"Hdfc Bank Ltd",241.54,237.337204,3.574792,0.48308,0.144924
"107","""Oct 21""",7,"Bank Of Baroda",147.47,145.420167,0.707856,0.796338,0.545639
"108","""Oct 21""",8,"Union Bank Of India",140.8,139.40608,0.74624,0.12672,0.52096
"109","""Oct 21""",9,"Punjab National Bank",111.94,104.686288,0.682834,5.518642,1.052236
"110","""Oct 21""",10,"Canara Bank",110.73,109.334802,1.173738,0.066438,0.155022
"111","""Oct 21""",11,"Kotak Mahindra Bank",97.01,95.001893,1.232027,0.058206,0.717874
"112","""Oct 21""",12,"Bank Of India",90.08,87.791968,0.738656,0.9008,0.648576
"113","""Oct 21""",13,"Federal Bank",79.81,79.674323,0.119715,0.015962,0
"114","""Oct 21""",14,"Indian Bank",52.95,49.90008,0.28593,0.884265,1.879725
"115","""Oct 21""",15,"Central Bank Of India",51.2,50.11456,0.45056,0.256,0.37888
"116","""Oct 21""",16,"Airtel Payments Bank",48.24,43.237512,1.963368,2.932992,0.106128
"117","""Oct 21""",17,"Indusind Bank",41.26,40.356406,0.264064,0.272316,0.367214
"118","""Oct 21""",18,"Idbi Bank Limited",37.36,36.298976,0.276464,0.732256,0.052304
"119","""Oct 21""",19,"Indian Overseas Bank",30.4,29.7768,0.14288,0.32224,0.15808
"120","""Oct 21""",20,"Bank Of Maharashtra",27.97,27.553247,0.125865,0.240542,0.050346
"121","""Oct 21""",21,"Uco Bank",26.36,24.918108,0.282052,0.977956,0.181884
"122","""Oct 21""",22,"Karnataka Bank",22.39,21.501117,0.210466,0.389586,0.288831
"123","""Oct 21""",23,"Karur Vysya Bank",17.79,17.57652,0.119193,0.064044,0.030243
"124","""Oct 21""",24,"Idfc First Bank",15.9,15.6774,0.16695,0.02544,0.03021
"125","""Oct 21""",25,"India Post Payment Bank",15.23,14.434994,0.102041,0.449285,0.24368
"126","""Oct 21""",26,"South Indian Bank",12.17,12.016658,0.148474,0.003651,0.001217
"127","""Oct 21""",27,"Bandhan Bank",12.05,10.90043,0.09158,1.04594,0.01205
"128","""Oct 21""",28,"Citibank",9.4,8.87548,0.3713,0.13724,0.01598
"129","""Oct 21""",29,"City Union Bank",8.8,8.624,0.14784,0.02464,0.00352
"130","""Oct 21""",30,"Au Small Finance Bank",8.13,8.04057,0.052032,0.010569,0.026829
"131","""Oct 21""",31,"Fino Payments Bank",7.03,6.627884,0.25308,0.145521,0.003515
"132","""Oct 21""",32,"Tamilnad Mercantile Bank",6.62,5.32248,0.101948,0.993,0.197276
"133","""Oct 21""",33,"Ujjivan Small Finance Bank",6.44,6.336316,0.041216,0.0322,0.030268
"134","""Oct 21""",34,"Dbs Bank India Limited",6.17,5.895435,0.260991,0.007404,0.00617
"135","""Oct 21""",35,"Equitas Small Finance Bank",6.13,5.683736,0.285658,0.115244,0.045362
"136","""Oct 21""",36,"Andhra Pradesh Grameena Vikas Bank",5.79,5.612247,0.013317,0.118695,0.045741
"137","""Oct 21""",37,"Pragathi Krishna Gramin Bank",5.53,5.182163,0.017696,0.216223,0.113918
"138","""Oct 21""",38,"Saraswat Bank",4.86,4.795848,0.033534,0.028674,0.001944
"139","""Oct 21""",39,"Maharashtra Gramin Bank",4.53,4.487871,0.014496,0.015855,0.011778
"140","""Oct 21""",40,"Punjab And Sind Bank",4.48,4.241664,0.023744,0.096768,0.117824
"141","""Oct 21""",41,"Rbl Bank",4.21,3.760793,0.44626,0.000421,0.000842
"142","""Oct 21""",42,"Kerala Gramin Bank",3.95,3.86231,0.01422,0.03871,0.03476
"143","""Oct 21""",43,"Andhra Pragathi Grameena Bank",3.54,3.4692,0.012744,0.020886,0.03717
"144","""Oct 21""",44,"Jammu And Kashmir Bank",3.53,3.309022,0.109077,0.108724,0.003177
"145","""Oct 21""",45,"Rajasthan Marudhara Gramin Bank",3.52,3.444672,0.010208,0.036256,0.028864
"146","""Oct 21""",46,"Esaf Small Finance Bank Ltd.",3.51,3.401892,0.014391,0.090207,0.00351
"147","""Oct 21""",47,"Standard Chartered",3.24,3.158028,0.0486,0.026244,0.007128
"148","""Oct 21""",48,"Sarva Haryana Gramin Bank",3.15,2.825235,0.01827,0.29862,0.007875
"149","""Oct 21""",49,"Baroda Rajasthan Kshetriya Gramin Bank",3.02,2.73914,0.058588,0.164288,0.057984
"150","""Oct 21""",50,"Lakshmi Vilas Bank",2.84,2.795412,0.018176,0.018744,0.007668
"151","""Nov 21""",1,"Paytm Payments Bank",797.69,793.222936,3.110991,1.356073,0.079769
"152","""Nov 21""",2,"State Bank Of India",595.02,585.856692,2.142072,6.84273,0.178506
"153","""Nov 21""",3,"Yes Bank Ltd",471.38,470.484378,0.377104,0.424242,0.094276
"154","""Nov 21""",4,"Icici Bank",366.71,363.372939,2.456957,0.696749,0.183355
"155","""Nov 21""",5,"Axis Bank Ltd",331.52,329.829248,1.193472,0,0.49728
"156","""Nov 21""",6,"Hdfc Bank Ltd",227.66,224.495526,3.050644,0.068298,0.045532
"157","""Nov 21""",7,"Bank Of Baroda",144.71,142.741944,0.738021,0.622253,0.607782
"158","""Nov 21""",8,"Union Bank Of India",142.58,141.268264,0.798448,0.256644,0.242386
"159","""Nov 21""",9,"Canara Bank",111.26,109.902628,1.123726,0.133512,0.100134
"160","""Nov 21""",10,"Punjab National Bank",109.33,107.1434,0.645047,1.071434,0.470119
"161","""Nov 21""",11,"Kotak Mahindra Bank",93.07,91.376126,1.135454,0.223368,0.335052
"162","""Nov 21""",12,"Bank Of India",90.05,89.3296,0.37821,0.19811,0.135075
"163","""Nov 21""",13,"Federal Bank",82.59,82.391784,0.173439,0.016518,0.008259
"164","""Nov 21""",14,"Indian Bank",53.84,52.203264,0.24228,0.570704,0.823752
"165","""Nov 21""",15,"Airtel Payments Bank",50.47,44.610433,1.221374,4.587723,0.055517
"166","""Nov 21""",16,"Central Bank Of India",49.94,49.275798,0.334598,0.129844,0.204754
"167","""Nov 21""",17,"Indusind Bank",41.88,41.381628,0.25128,0.016752,0.23034
"168","""Nov 21""",18,"Idbi Bank Limited",36.41,35.903901,0.418715,0.061897,0.025487
"169","""Nov 21""",19,"Indian Overseas Bank",29.98,29.617242,0.131912,0.191872,0.038974
"170","""Nov 21""",20,"Bank Of Maharashtra",27.61,27.270397,0.113201,0.187748,0.041415
"171","""Nov 21""",21,"Uco Bank",26.57,25.74633,0.196618,0.536714,0.090338
