"","Sl_No.","UPI_Beneficiary_Bank","Total_Volume","Approved_Amt","BD_Amt","TD_Amt","DeemedApproved_Amt"
"1212",12,"Kotak Mahindra Bank",215.21,214.198513,0.925403,0.064563,0.064563
"1251",1,"Paytm Payments Bank",2482.89,2479.662243,2.979468,0.248289,0.248289
"1253",3,"State Bank Of India",1118.01,1113.761562,2.012418,2.23602,0.447204
"1254",4,"Axis Bank Ltd",731.82,727.06317,2.56137,2.19546,0.878184
"1255",5,"Icici Bank",625.87,622.678063,2.50348,0.688457,0.187761
"1256",6,"Hdfc Bank Ltd",508.57,503.687728,2.847992,2.03428,0.762855
"1257",7,"Bank Of Baroda",301.81,299.878416,1.026154,0.90543,0.211267
"1258",8,"Union Bank Of India",292.91,290.596011,0.527238,1.786751,0.380783
"1260",10,"Punjab National Bank",236.23,234.907112,0.992166,0.330722,0.141738
"1261",11,"Canara Bank",234.42,232.89627,1.008006,0.515724,0.281304
"1262",12,"Kotak Mahindra Bank",215.88,214.541544,0.97146,0.345408,0.280644
"1301",1,"Paytm Payments Bank",2709.07,2705.548209,2.979977,0.541814,0
"1303",3,"State Bank Of India",1183.73,1151.295798,3.314444,29.119758,4.853293
"1304",4,"Axis Bank Ltd",798.18,796.024914,1.755996,0.39909,0.239454
"1305",5,"Icici Bank",651.16,646.471648,3.190684,1.497668,0.520928
"1306",6,"Hdfc Bank Ltd",535.56,532.293084,2.6778,0.589116,0.321336
"1307",7,"Bank Of Baroda",326.93,320.685637,2.746212,3.498151,0.523088
"1308",8,"Union Bank Of India",314.34,311.102298,0.754416,2.51472,0.691548
"1310",10,"Punjab National Bank",256.32,253.859328,1.15344,1.332864,0.563904
"1311",11,"Canara Bank",252.42,250.501608,1.287342,0.63105,0.37863
"1312",12,"Kotak Mahindra Bank",237.72,234.724728,1.521408,1.473864,0.404124
"1351",1,"Paytm Payments Bank",2617.76,2615.14224,2.094208,0.261776,0
"1353",3,"State Bank Of India",1163.73,1153.838295,3.142071,6.749634,0.698238
"1354",4,"Axis Bank Ltd",856.15,852.04048,2.91091,1.284225,0.599305
"1355",5,"Icici Bank",651.71,647.017688,3.91026,0.782052,0.065171
"1356",6,"Hdfc Bank Ltd",508.67,505.058443,3.306355,0.305202,0.203468
"1357",7,"Bank Of Baroda",317.76,315.948768,1.525248,0.285984,0.31776
